11;Noisy-le-Sec;43 693
11;Pantin;55 585
11;Pierrefitte-sur-Seine;29 728
11;Romainville;26 640
11;Rosny-sous-Bois;45 663
11;Saint-Denis;112 309
11;Saint-Ouen;49 949
11;Sevran;50 888
11;Stains;39 776
11;Tremblay-en-France;35 866
11;Villemomble;30 227
11;Villepinte;36 809
11;Alfortville;44 136
11;Cachan;30 524
11;Champigny-sur-Marne;77 883
11;Charenton-le-Pont;30 793
11;Choisy-le-Roi;44 781
11;Créteil;90 052
11;Fontenay-sous-Bois;53 968
11;Fresnes;27 556
11;L' Haÿ-les-Roses;31 416
11;Ivry-sur-Seine;61 099
11;Le Kremlin-Bicêtre;25 422
11;Limeil-Brévannes;26 901
11;Maisons-Alfort;55 816
11;Nogent-sur-Marne;32 195
11;Le Perreux-sur-Marne;34 017
11;Saint-Maur-des-Fossés;75 833
11;Sucy-en-Brie;26 575
11;Thiais;29 295
11;Villejuif;55 805
11;Villeneuve-Saint-Georges;33 135
11;Villiers-sur-Marne;29 407
11;Vincennes;50 300
11;Vitry-sur-Seine;93 317
11;Argenteuil;112 064
11;Bezons;29 216
11;Cergy;64 451
11;Eaubonne;25 514
11;Ermont;29 400
11;Franconville;36 349
11;Garges-lès-Gonesse;42 821
11;Gonesse;26 556
11;Goussainville;31 167
11;Herblay;29 614
11;Pontoise;31 880
11;Sannois;27 118
11;Sarcelles;58 332
11;Taverny;26 541
11;Villiers-le-Bel;27 519
01;Les Abymes;54 818
01;Baie-Mahault;31 338
01;Le Gosier;27 023
02;Fort-de-France;82 030
02;Le Lamentin;40 920
03;Cayenne;60 947
03;Kourou;26 726
03;Matoury;32 768
03;Remire-Montjoly;26 170
03;Saint-Laurent-du-Maroni;44 130
04;Le Port;35 141
04;La Possession;33 337
04;Saint-André;56 088
04;Saint-Benoît;38 466
04;Saint-Denis;149 337
04;Saint-Joseph;38 167
04;Saint-Leu;34 160
04;Saint-Louis;53 832
04;Saint-Paul;106 920
04;Saint-Pierre;85 059
04;Sainte-Marie;33 587
04;Le Tampon;78 366
